city,country,lat,lng,cloudiness,humidity,max_temp,wind_speed
tuggurt,VE,9.86,-66.38,98,90,74.55,2.53
barentsburg,PK,33.67,72.7,40,78,84.99,11.41
korla,ID,-0.95,122.79,95,77,77.54,6.64
seymchan,US,64.5,-165.41,90,87,51.8,16.11
mataura,DE,51.74,7.18,99,76,70,10.09
praia da vitoria,RU,71.69,128.87,100,87,39.52,14.9
yunjinghong,GL,77.48,-69.36,76,57,46.17,3.15
kapaa,SA,26.33,43.98,20,34,95,3.36
altagracia de orituco,NZ,-46.28,169.85,100,65,44.82,4.61
jhang,ID,-0.88,131.25,100,84,79.12,12.66
luwuk,SL,7.53,-12.51,95,81,76.08,9.44
nome,MU,-19.98,57.61,1,81,66.99,4
haltern,RU,61.92,63.02,35,82,47.32,4.92
tiksi,BR,-8.84,-69.26,23,57,78.76,0.72
qaanaaq,ZA,-33.93,18.42,0,93,50,3.36
buraydah,AO,-15.2,12.15,0,67,66.63,4.05
kaitangata,ZA,-33.02,27.91,15,72,58.48,15.66
sorong,AU,-33.65,115.33,2,98,46.99,7.85
bonthe,MX,18.7,-95.5,100,74,86.77,7.16
cap malheureux,US,57.79,-152.41,1,63,62.6,8.05
agirish,BR,-30.18,-50.21,100,97,60.89,2.01
manoel urbano,AR,-38.95,-68.06,0,45,48.2,8.05
cape town,CU,22.64,-79.9,40,70,87.8,17.22
namibe,AU,-20.1,146.27,0,38,58.37,16.17
east london,DE,53.08,10.58,75,55,66.2,9.17
busselton,US,71.29,-156.79,90,86,39.2,24.16
mundo nuevo,ID,-2.58,115.38,84,93,73.65,1.45
kodiak,TR,36.37,30.29,0,49,83.28,4.43
cidreira,PG,-2.57,150.8,14,75,83.16,9.75
neuquen,CA,62.46,-114.35,75,68,72,5.82
calabazar de sagua,ES,40.29,-4.01,2,30,87.01,6.93
charters towers,NZ,-46.13,167.68,100,83,39,3
bad bevensen,EG,24.09,32.91,24,15,91.15,7.94
barrow,AU,-42.88,147.33,75,93,44.6,5.82
barabai,RU,53.05,158.65,25,77,64.4,4.47
kumluca,BB,13.22,-59.52,40,79,84.2,13.87
kavieng,US,46.72,-92.46,1,34,78.8,13.87
yellowknife,EG,25.29,32.55,40,40,89.6,14.12
navalcarnero,JP,26.59,127.98,1,88,82.4,10.29
tuatapere,CK,-21.21,-159.78,80,73,73.4,11.41
wahran,BR,-7.47,-34.81,75,94,73.4,11.41
aswan,MD,47.26,29.16,97,60,73.4,8.05
hobart,BW,-20.47,22.72,0,43,53.89,10.31
petropavlovsk-kamchatskiy,CA,43.75,-81.72,78,82,80.01,9.24
bathsheba,FR,44.89,1.22,0,65,75.99,1.01
cloquet,SO,9.41,45.06,7,54,72.93,15.61
esna,AO,-8.84,13.23,20,88,71.6,6.93
nago,EC,-0.74,-90.35,20,73,73.4,21.92
avarua,LY,32.79,12.49,0,63,78.3,8.57
lolua,RU,56.17,91.82,0,93,53.6,2.3
pitimbu,TW,22.76,121.14,20,88,77,4.7
dubasari,AU,-24.87,113.63,0,100,51.8,8.05
sehithwa,MX,16.86,-99.89,90,78,82.4,14.99
goderich,LT,55.73,26.25,81,92,61.41,1.61
sarlat-la-caneda,US,20.89,-156.47,20,46,89.6,21.92
odweyne,JP,28.37,129.48,75,89,84.2,12.75
luanda,CN,49.28,120.73,24,65,73.11,11.81
puerto ayora,US,19.73,-155.09,90,54,84.2,9.17
sabratah,MN,49.49,105.92,0,74,62.85,1.52
kedrovyy,SY,34.45,40.92,51,12,94.87,6.06
taitung,KH,13.59,102.97,71,90,76.93,4.36
carnarvon,RU,69.7,170.31,0,84,35.98,10.54
acapulco,PE,-6.84,-79.93,20,72,64.4,18.34
zarasai,VE,11.03,-63.86,60,63,91.4,5.82
kahului,RU,57.02,82.07,0,96,50.04,2.42
naze,RU,70.63,147.92,100,61,46.69,2.8
yakeshi,AU,-33.87,121.9,67,100,50,8.05
hilo,MU,-20.34,57.76,40,88,66.99,4.7
darhan,US,57.05,-135.33,75,77,60.8,6.93
abu kamal,RU,50.35,90.5,100,84,48.22,3.27
sisophon,MX,22.89,-109.91,75,52,91.4,13.87
pevek,GL,60.92,-46.05,75,76,51.8,8.05
pimentel,US,43.41,-124.22,1,77,82.99,13.87
la asuncion,RU,50.68,156.12,93,88,53.73,17.16
bakchar,PE,-13.7,-76.22,4,77,62.6,14.99
chokurdakh,VE,10.61,-66.85,30,87,75,3.74
esperance,US,41.12,-100.77,1,48,84.2,6.93
bambous virieux,IT,46.14,9.57,7,77,75,2.98
samusu,ML,18.44,1.41,46,46,86.13,9.86
sitka,AU,-34.58,150.86,100,91,59,8.01
mugur-aksy,MX,27.67,-105.17,72,40,84.42,16.26
bossembele,NO,62.58,6.13,100,87,60.01,8.05
cabo san lucas,US,36.21,-115.98,0,12,102.99,7
narsaq,AR,-45.87,-67.5,10,56,42.8,10.29
north bend,CN,44.3,86.03,96,66,68.13,6.24
severo-kurilsk,FR,47.25,2.42,0,49,73.4,8.05
pisco,GA,-1.41,13.16,46,73,73.13,2.35
caraballeda,CD,-3.32,17.37,53,44,81.57,3.65
north platte,KI,3.07,172.79,100,80,82.83,10.78
morbegno,RU,67.45,153.68,89,50,61.97,14.36
kidal,US,41.37,-73.41,1,52,91,9.17
flinders,US,43.37,-124.22,1,77,82.99,13.87
camargo,DO,18.43,-68.97,40,70,86,11.41
roald,MY,5.97,116.07,20,94,75.2,3.36
pahrump,RU,65.58,-171,48,82,49.8,14.99
comodoro rivadavia,US,29.6,-90.72,40,83,82.99,8.05
shihezi,BR,-6.22,-57.75,10,50,80.89,1.68
bourges,DO,18.46,-69.3,75,79,86,10.6
mounana,ID,-4.94,122.53,66,86,74.32,4.12
bandundu,OM,17.02,54.09,40,94,78.8,5.82
butaritari,SD,13.52,35.77,100,82,71.28,5.32
palabuhanratu,PT,32.67,-17.1,20,68,71.6,12.75
srednekolymsk,US,33.67,-95.58,20,55,91,9.17
bethel,RU,68.75,161.3,40,55,46.56,10.96
coos bay,KE,1.75,40.06,35,70,74.68,18.1
la romana,GL,65.61,-37.64,100,81,44.6,9.17
kota kinabalu,LR,4.38,-7.72,73,81,75.07,8.28
lavrentiya,MN,46.68,113.28,2,82,60.84,11.39
houma,CD,2.77,27.62,100,98,66.36,0.98
jacareacanga,US,38.42,-121.42,5,26,97,9.17
san pedro de macoris,BR,-8.9,-35.15,93,78,74.88,12.06
katobu,BR,-10.41,-36.43,87,79,74.28,11.32
salalah,NA,-26.65,15.16,0,77,59,3.36
doka,MZ,-19.84,34.84,75,77,69.8,6.93
ponta do sol,CN,33.57,114.04,99,93,74.75,3.38
lamar,FR,46.2,1.5,0,60,69.8,6.93
cherskiy,GL,61.99,-49.67,96,84,47.16,2.51
wajir,TZ,-6.82,37.67,2,82,65.66,5.08
tasiilaq,DK,55.65,11.29,98,82,62.6,5.82
harper,GL,69.22,-51.1,97,75,44.6,3.36
baruun-urt,CA,47.67,-52.73,90,100,62.01,3.36
jundubah,SO,9.49,50.81,0,73,79.5,22.26
falaleu,MN,45.76,106.27,0,61,61.23,12.46
isiro,RO,46.43,26.4,67,89,61,4.74
laguna,RU,59.2,37.15,0,94,57.6,3.15
sao jose da coroa grande,RU,46.49,135.88,0,79,71.06,0.89
piacabucu,ID,-6.88,112.21,46,82,74.43,10.31
nizhneyansk,CA,44.65,-63.57,100,78,71.01,1.01
luderitz,BJ,6.5,2.6,20,88,77,10.29
beira,GA,0.38,9.78,40,88,77,9.17
luohe,AU,-28.77,114.6,90,93,59,8.21
semme,BR,-9.88,-56.09,0,35,77.97,3.27
paamiut,AU,-38.27,141.97,11,90,46.85,4.88
morogoro,CN,32.79,119.43,90,98,75,5.64
svebolle,MA,35.17,-2.93,90,88,77,6.93
ilulissat,SJ,78.22,15.64,2,55,64.4,9.17
torbay,CO,2.62,-72.76,56,90,76.26,2.28
bandarbeyla,GL,72.79,-56.15,0,85,44.92,5.26
mandalgovi,MG,-13.2,49.05,78,77,70.9,1.7
asau,RU,67.54,133.38,94,80,50.59,6.24
kaduy,US,30.05,-99.14,40,39,95,5.82
grand river south east,AX,60.1,19.93,91,100,62.01,2.24
vostok,PL,51.05,20.83,68,1,66,3.53
labuhan,IN,27.92,96.17,100,87,76.51,1.57
halifax,TL,-8.93,125.41,92,82,55.72,3.4
porto novo,RU,54.61,48.39,1,82,57.2,4.47
ntoum,IS,63.44,-20.27,0,73,52.47,22.35
geraldton,GL,60.72,-46.03,75,76,51.8,8.05
alta floresta,DE,53.6,7.2,75,77,64.4,6.93
codrington,ZA,-33.92,25.57,0,81,51.8,6.93
gaoyou,GB,57.47,-1.78,100,87,52,13.87
tsihombe,OM,22.57,59.53,0,63,87.46,11.21
saleaula,GF,4.73,-52.33,55,88,78.8,2.24
nador,AU,-25.24,130.99,0,64,37.4,4.7
longyearbyen,CA,54.05,-128.65,94,74,70,1.99
puerto concordia,NC,-22.67,167.48,90,82,71.49,23.2
upernavik,PF,-16.48,-151.75,100,81,78.82,15.05
ambilobe,PH,11.43,122.06,100,75,81.81,5.64
verkhoyansk,KZ,43.17,70.47,47,23,73.13,7.29
louisbourg,LY,29.13,15.95,0,64,74.03,3.67
kerrville,CL,-41.87,-73.82,20,87,45,3.36
sinkat,SE,63.29,18.72,90,100,55.4,3.36
maarianhamina,CL,-35.33,-72.42,0,63,48.09,10.6
ijaki,GL,64.18,-51.72,100,87,46.4,10.29
suchedniow,MX,32.33,-117.03,5,64,80.01,20.8
tezu,GE,42.41,42.38,75,94,75.2,4.7
airai,AO,-12.58,13.41,25,84,67.21,3.8
undory,GF,4.25,-54.38,100,94,74.91,2.84
amderma,US,46.32,-120.01,1,28,100,3.36
vestmannaeyjar,KZ,43.6,73.76,71,34,72.61,8.52
qaqortoq,CA,66.15,-65.71,90,51,62.6,13.87
norden,CA,69.45,-133.04,75,52,68,14.99
port elizabeth,CN,29.71,118.29,94,99,79,0.38
rawannawi,AE,24.47,54.37,69,35,98.6,4.7
attawapiskat,RU,69.3,139.9,100,74,45.21,4.54
boddam,IS,63.84,-22.43,40,81,48.2,17.22
sur,GL,65.42,-52.9,100,95,45.45,13.69
roura,RE,-20.9,55.55,100,72,68,3.36
yulara,PH,6.71,121.97,75,100,75.2,2.24
mys shmidta,PT,32.63,-16.97,20,68,71.6,12.75
kitimat,SZ,-27.31,31.89,90,78,58.23,0.98
skagastrond,CN,40.28,97.2,0,21,68.97,7.61
vao,NL,52.96,4.76,75,88,66.2,24.16
faanui,US,30.23,-92.07,75,74,82.4,5.82
culasi,MV,-0.6,73.08,100,79,81.54,10.18
karatau,SN,16.51,-14.65,40,46,89.6,3.71
hun,RU,42.73,133.08,50,77,68.63,4.81
ancud,US,44.39,-68.2,1,74,84,8.05
ornskoldsvik,ZA,-33.59,26.89,0,80,55.02,12.75
constitucion,KZ,41.25,67.97,5,29,76.64,12.75
nuuk,US,38.89,-76.51,1,46,93.99,11.41
rosarito,LR,6.3,-10.8,84,82,76.06,10.18
martvili,IN,11.67,92.75,100,79,81.97,9.95
benguela,RU,55.32,85.95,25,100,55.4,2.24
grand-santi,IR,32.33,50.86,20,29,75.2,6.93
sunnyside,TZ,-3.77,37.72,8,78,64.49,1.19
shu,AU,-41.45,147.17,75,87,46,6.93
illoqqortoormiut,AU,-20.74,116.85,88,31,63.03,12.77
pangnirtung,KI,1.33,172.98,75,79,86,9.17
tuktoyaktuk,AR,-31.54,-68.54,0,44,51.53,8.41
liyang,PH,16.29,119.81,93,72,82.8,4.97
abu dhabi,PE,-5.09,-81.11,1,78,65.14,16.87
deputatskiy,MR,20.5,-10.07,37,21,97.03,11.18
grindavik,RU,51.71,143.23,2,74,63.23,6.15
maniitsoq,US,42.08,-72.03,17,38,91.99,1.99
sainte-marie,CF,8.41,20.65,100,96,70.05,2.93
isabela,KR,35.24,129.21,90,94,73.4,5.82
camara de lobos,RU,51.13,93.6,100,69,54.81,2.84
lavumisa,NA,-22.35,16.13,0,40,54.73,5.64
yumen,AR,-43.3,-65.1,25,61,42.98,17.05
den helder,IS,66.04,-17.34,75,66,48.2,11.41
lafayette,BR,-13.61,-42.94,65,70,68.2,9.98
tasbuget,SA,17.49,44.13,40,48,82.4,11.41
hithadhoo,TC,21.46,-71.14,0,77,82.4,18.45
ndioum,CN,47.87,88.12,100,74,55.45,1.12
vrangel,BR,-5.2,-35.46,40,83,75.2,6.93
bar harbor,LY,29.03,21.55,0,41,81.46,17.45
kamenskoye,FI,59.97,23.43,97,87,63,2.73
port alfred,GB,51.06,-0.33,20,88,62.6,6.93
chardara,SY,35.3,37.18,31,44,79.27,2.59
mayo,AU,-32.5,137.77,21,70,33.8,5.82
monrovia,LY,29.16,16.14,0,65,73.9,6.51
port blair,RU,59.7,30.79,22,82,60.01,6.71
pioner,SO,4.12,43.89,17,77,73.31,21.12
shahr-e kord,IN,31.1,75,0,54,87.84,6.62
kwakoa,MZ,-23.86,35.38,19,79,63.9,11.34
launceston,RU,64.56,39.83,40,93,59,2.24
karratha,CO,1.2,-70.17,94,94,74.44,0.45
bairiki,US,40.69,-75.19,40,50,90,4
san juan,BR,-17.34,-39.22,1,75,71.11,6.76
catuday,ID,-5.67,132.75,100,80,78.76,20.87
paita,GR,35.2,26.25,0,34,82.99,8.01
adrar,IN,16.98,73.3,100,81,80.2,1.5
katangli,AU,-30.65,153,0,62,60.01,12.75
southbridge,BR,-4.25,-69.94,20,70,87.8,4.7
ndele,KG,41.17,75.81,12,67,49.91,1.03
kijang,CN,34.06,108.63,1,94,79,4.47
khovu-aksy,BR,-21.64,-41.05,0,78,73.4,13.87
otjimbingwe,RU,58.31,112.9,100,85,63.34,1.92
rawson,PK,29.8,72.18,0,43,95.83,15.41
husavik,TZ,-11.37,38.42,19,72,68.4,3.6
riacho de santana,ML,20.2,1.01,46,41,86.63,11.99
najran,NO,67.67,12.69,70,96,54.34,3.58
cockburn town,PH,11,122.67,100,88,78.48,4.92
altay,US,64.86,-147.8,90,87,57.2,6.93
touros,AO,-14.92,13.49,0,50,54.84,3.22
jalu,MU,-20.52,57.52,40,88,66.2,4.7
tammisaari,MX,19.22,-104.7,40,66,89.6,6.93
phan rang,US,43.13,-115.69,40,14,93.2,12.75
horsham,ES,43,-4.14,20,83,71.6,2.24
abu samrah,SE,57.64,18.3,37,93,59,4.7
port augusta,AU,-34.68,150.87,100,95,59,5.99
waddan,RU,55.57,62.08,20,93,53.6,8.95
nikolskoye,IN,28.07,95.33,100,89,77.2,2.01
xuddur,NZ,-35.62,174.5,81,3,57.99,3
makhu,RU,59.06,80.86,31,80,49.3,4.52
inhambane,AU,-32.72,152.15,90,100,55,20.8
severodvinsk,TZ,-5.25,39.77,0,80,75.51,15.68
mitu,ZA,-34,24.73,0,69,48.49,5.35
phillipsburg,CN,28.78,105.09,0,85,72.77,1.68
dzhusaly,AU,-42.78,147.06,46,92,44.01,1.34
prado,AU,-13.85,136.42,5,93,59,20.02
tual,EG,31.35,27.25,0,83,78.8,5.82
palaikastron,BR,-6.98,-34.83,75,94,73.4,11.41
ratnagiri,CN,42.19,127.48,97,94,64.81,2.01
nambucca heads,KZ,54.94,68.54,56,83,54.21,4.88
kuche,UZ,40.43,71.72,13,44,78.8,2.24
tabatinga,MU,-20.21,57.76,40,88,66.99,4.7
at-bashi,RU,66.83,70.83,100,73,48.22,12.8
yuxia,NZ,-35.93,173.88,99,65,59.29,8.55
sao joao da barra,US,34.64,-120.46,5,60,72,16.11
mama,KZ,51.1,66.32,100,80,59.74,12.33
mailsi,GB,51.38,1.39,80,79,64,3
masuguru,AU,-21.15,149.2,0,82,55.4,9.17
tessalit,CA,55.1,-105.28,20,39,78.8,13.87
sorland,CA,60.75,-137.51,100,68,54.59,2.93
dingle,SL,7.62,-11.83,99,91,72.61,3.78
college,AU,-20.73,139.5,0,37,53.6,8.05
lubango,SB,-8.1,156.84,26,74,82.74,4.12
souillac,LK,6.12,81.12,75,100,77,3.36
san patricio,BR,-0.61,-47.36,0,83,79.65,12.86
mountain home,CD,-5.35,21.42,9,34,70.12,1.16
reinosa,IR,30.81,56.56,0,22,71.22,3.71
visby,CA,50.2,-66.38,75,100,64,6.93
kiama,US,41.7,-71.42,75,44,93.2,11.41
brodokalmak,IT,37.8,12.44,0,78,84,4.7
pasighat,SR,4.75,-55.17,59,81,80.02,6.96
ngunguru,PG,-10.62,150.67,93,89,79.61,10.6
kargasok,TD,14.53,20.92,100,58,83.59,11.41
nelson bay,AR,-27.8,-64.26,0,41,57.87,10.56
chake chake,CA,46.05,-74.28,40,78,82.99,2.24
kruisfontein,FI,61.69,27.27,55,81,59,3.98
tongzi,ID,0.13,117.5,26,90,76.78,6.08
new norfolk,US,39.02,-94.28,90,65,82.4,6.93
alyangula,SO,5.35,48.53,8,74,79.41,22.5
marsa matruh,AR,-38.55,-58.74,94,94,42.01,4
cabedelo,NZ,-35.17,173.17,97,67,59.34,10.04
songjianghe,ES,37.98,-0.68,49,78,77,3
mamlyutka,MX,30.48,-115.95,2,68,73.24,17.36
komsomolskiy,MY,4.41,114.01,40,94,77,3.36
tarudant,NP,27.72,85.32,75,94,71.6,8.05
quatre cocos,PT,39.05,-27.98,0,88,73.8,4.63
vaitupu,NG,7.8,6.74,100,94,74.03,0.87
yar-sale,BR,-10.71,-48.42,0,42,82.4,5.82
potgietersrus,RU,63.37,47.92,94,82,59.16,2.53
dargaville,CV,14.9,-24.5,88,76,75.65,8.3
lompoc,CN,41.69,122.11,50,91,72.64,8.93
derzhavinsk,ID,1.74,98.78,99,82,75.33,2.24
margate,PT,42.03,-8.16,90,93,69.01,3.36
mackay,NU,-19.06,-169.92,75,78,75.2,13.87
yomitan,CZ,50.56,14.66,100,65,69.01,1.99
la ronge,NO,67.1,15.39,33,93,55,4.14
haines junction,JP,44.35,143.35,65,82,65.8,0.85
ngukurr,SN,12.48,-16.55,40,100,77,4.7
mattru,ID,-3.8,102.27,74,81,73.78,4.21
mount isa,IN,20.82,71.03,69,82,82,8.84
gizo,GA,-0.72,8.78,20,88,75.2,13.51
hambantota,US,34.8,-106.54,40,42,84,5.82
salinopolis,GL,60.14,-45.24,100,94,46.56,6.98
luebo,MN,48.01,91.64,100,61,61.72,4.97
zarand,RU,51.42,36.75,19,73,62.33,7.7
sept-iles,SD,13.02,31.87,100,70,78.98,10.94
warwick,KH,10.62,104.18,40,94,78.8,1.12
marsala,CM,7.32,13.58,40,94,68,1.88
brokopondo,US,44.37,-100.35,1,22,93.99,11.41
samarai,EG,27.27,31.15,0,39,78.8,9.17
biltine,UA,47.48,36.25,27,61,67.93,12.19
santiago del estero,MX,27.98,-114.06,10,58,76.39,19.95
sainte-agathe-des-monts,CL,-20.22,-70.14,75,72,59,8.05
mikkeli,RU,67.8,130.41,99,72,50.27,3.98
bontang,PH,8,124.29,98,91,73.99,5.99
blue springs,RU,52.47,96.11,50,81,48.96,0.92
hobyo,GF,5.38,-52.95,26,80,79.47,3.49
necochea,NO,70.86,29.09,0,72,59.58,9.6
ahipara,RU,71.92,114.08,42,71,48,13.02
torrevieja,IS,64.25,-15.21,97,65,52.65,12.95
sataua,GW,12.28,-14.22,98,97,74.23,4.83
jabiru,MN,48.81,103.53,16,78,57.65,0.45
san quintin,RU,54.7,78.66,51,87,52.9,2.21
miri,RU,63.86,57.31,17,88,54.27,4.27
xadani,CA,50.03,-66.87,75,100,64,6.93
kathmandu,JP,43.32,145.57,23,91,58.64,7.29
lagoa,RU,51.07,37.23,48,49,68,6.71
lokoja,AO,-9.66,20.39,0,42,60.91,5.73
porto nacional,CA,58.81,-122.7,75,40,71.6,12.75
blagoyevo,AO,-12.02,17.48,0,50,52,2.98
warqla,FR,51.02,2.39,94,83,64.99,4
sao filipe,ID,5.38,95.96,100,84,77.25,6.8
heishan,RU,66.32,-179.17,71,73,52.54,8.59
sibolga,CN,50.24,127.49,90,100,69.8,4.47
vila,PG,-6.22,155.63,100,68,83.7,2.8
kazalinsk,ZA,-28.78,32.04,68,78,59.74,4.45
alofi,US,40.6,-124.16,4,69,69.01,4
doksy,UG,2.42,30.99,97,90,62.31,3.58
rognan,JP,35.43,133.82,90,88,78.8,3.36
mombetsu,CL,-25.4,-70.48,21,75,57.15,2.64
oussouye,RU,50.72,136.63,29,69,73.24,2.1
bengkulu,BR,-30.04,-52.89,53,93,56.88,2.46
una,JP,34.67,138.95,100,92,75,1.99
port-gentil,RU,61.28,108.01,100,87,57.22,11.01
meadow lake,RU,60.42,134.53,100,90,60.67,7.47
nanortalik,AU,-20.32,118.57,97,36,51.8,6.93
hovd,NP,29.27,82.18,95,71,62.69,1.86
solntsevo,RU,55.75,30.75,88,96,62.78,3.24
tandalti,NL,52.92,6.79,93,89,63,1.01
kampot,GB,60.4,-1.35,100,100,55.4,2.24
ngaoundere,AU,-24.85,152.35,0,58,64,5.82
pierre,UY,-34.83,-56.17,100,61,50,9.17
abnub,SD,14.2,24.67,76,75,72.45,21.7
polohy,PG,-4.24,142.84,89,80,80.42,1.68
guerrero negro,RU,69.38,178.42,97,79,37.4,10.02
iquique,GA,-1.87,11.06,28,79,72,2.06
batagay-alyta,US,36.43,-94.23,75,78,81,5.82
marawi,TR,40.9,40.89,29,79,57.38,3.6
toora-khem,CM,6.52,14.3,71,96,65.01,2.98
sinnamary,MX,25.6,-109.05,75,49,96.01,19.46
berlevag,BR,-20.33,-40.29,0,73,73.4,3.36
saskylakh,ZA,-28.27,29.13,0,82,37.26,4.47
hofn,TR,41.57,35.91,21,82,68,3.36
gabu,ZA,-29.86,31.03,75,87,63,2.24
bulgan,US,47.93,-97.03,40,39,80.6,13.87
zdvinsk,SY,35.01,37.05,15,50,78.3,3.87
vuktyl,SB,-8.77,160.7,52,72,83.75,2.44
port-cartier,PH,6.97,125.42,90,88,77,1.12
nemuro,GL,68.71,-52.87,100,93,39.2,1.5
skorodnoye,ES,39.29,-2.79,63,44,81,1.01
saurimo,PG,-3.67,152.43,1,70,83.62,5.73
fort nelson,PK,33.91,73.39,40,78,84,11.41
mullaitivu,US,58.3,-134.42,75,77,60.01,8.05
camacupa,RU,52.52,99.83,0,73,51.51,1.39
coudekerque-branche,IN,25.23,77.6,64,70,83.23,9.51
sigli,SB,-8.14,159.59,76,76,83.5,9.19
egvekinot,VU,-19.55,169.27,40,78,78.8,8.05
heihe,US,60.55,-151.26,20,72,64.4,12.75
kieta,AU,-23.7,133.88,0,74,35.6,4.7
richards bay,CA,49.25,-55.05,75,72,64,8.05
fortuna,PK,34.78,72.36,97,70,75.16,4.63
paidha,AU,-14.47,132.27,14,43,51.8,6.93
kurayoshi,PH,12.18,125.51,100,85,78.98,3.58
taltal,RU,47.89,134.95,0,88,73,5.7
solnechnyy,RU,51.32,42.77,18,55,66,8.01
cachoeira do sul,MG,-16.78,47.65,99,72,67.44,7.63
shimoda,US,43.52,-114.32,40,30,84.2,4.7
yerbogachen,NZ,-43.53,172.63,100,100,43,5.82
yuzhno-yeniseyskiy,KY,19.28,-81.25,75,74,87.8,11.41
ust-maya,MX,25.08,-108.05,49,66,91,13
port hedland,FI,65.85,24.15,100,68,64.4,8.05
jumla,RU,67.68,53.15,9,84,50.02,6.8
usvyaty,US,45.52,-122.68,20,23,100,8.05
borger,RU,45.41,40.44,29,81,67.87,2.75
brae,CN,36.62,101.77,54,75,54.12,2.15
bundaberg,ES,29.06,-13.56,20,78,73.4,20.8
montevideo,CA,68.22,-135.01,75,46,69.8,8.05
kutum,CV,14.92,-23.51,75,69,78.8,8.05
ambunti,CA,50.7,-127.42,20,77,64.4,6.93
marcona,NZ,-42.72,170.97,100,63,51.93,7.61
leningradskiy,RU,67.47,78.7,59,67,50.47,11.18
mouila,US,34.77,-84.97,1,52,87.8,6.49
bella vista,MX,18.73,-103.68,60,61,87.24,4.92
rize,AU,-33.38,148.02,56,92,52,1.01
meiganga,AR,-35.66,-63.76,0,58,42.82,6.69
topolobampo,CN,43.65,111.98,0,46,73.94,6.55
vila velha,US,32.35,-90.88,1,78,84.2,5.82
harrismith,ZA,-34.05,23.37,0,52,56.77,4.25
